episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,safety_compliance_rate_after,z3_unsafe_prevented,epsilon,minikube_avg_cpu,minikube_avg_mem,minikube-m02_avg_cpu,minikube-m02_avg_mem,minikube-m03_avg_cpu,minikube-m03_avg_mem,minikube-m04_avg_cpu,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt
12,-4.706167527145301,20.0,31.0625,10.1847517459331,3719.4450275001145,82,4.0,4,88.88888888888889,100.0,1,0.9431644419191232,29.545454545454547,64.36363636363637,16.545454545454543,49.45454545454545,43.63636363636365,56.545454545454554,22.000000000000004,40.09090909090909,100.0,32.30597850088088,247.50429000050644,100.0
13,9.557141883981267,10.0,27.93181818181818,10.828448664505999,2981.2773005456124,84,4.0,4,100.0,100,0,0.9417504025116805,25.0,57.99999999999999,26.0,69.0,48.0,62.0,26.5,41.5,100.0,100.0,100.0,17.8315824996389
14,9.522442420344689,10.0,31.374999999999996,9.88096860031221,3118.0881964974105,86,4.0,4,100.0,100,0,0.9398683138614449,28.999999999999996,48.0,26.0,69.0,33.0,41.5,32.0,52.0,28.381235999404453,100.0,100.0,100.0
15,1.6358045990151986,10.0,30.0,4.625959660921845,8378.89794199873,88,4.0,4,100.0,100,0,0.9375209915730345,23.0,31.0,26.0,69.0,45.49999999999999,74.0,32.0,52.0,100.0,100.0,13.765720501396572,100.0
16,-1.8747392024724023,50.0,31.625000000000004,8.67352178763023,4310.964204501943,98,4.0,4,31.25,100.0,11,0.9281901805911033,34.99999999999999,65.0,25.38888888888889,60.77777777777777,22.166666666666668,62.44444444444445,33.111111111111114,60.83333333333333,20.64558200072497,56.62144860034459,2005.9289361993433,22.876485897868406
17,-9.833317401512861,25.0,28.916666666666668,7.038660873722496,3056.0097716665446,103,4.0,4,44.44444444444444,100.0,5,0.9217139234789336,29.909090909090907,54.63636363636364,35.99999999999999,82.0,24.454545454545453,73.45454545454545,29.272727272727273,65.0,35.312011402857024,100.0,100.0,250.56690520024858
18,18.576360098238585,45.0,29.909090909090914,5.462358553069847,3057.241217001733,112,4.0,4,72.72727272727273,100.0,3,0.9143677990935521,41.6923076923077,61.769230769230774,21.769230769230763,51.461538461538446,10.000000000000002,21.69230769230769,20.000000000000004,41.92307692307693,10.580368331122575,44.50664533263383,25.772052223813564,100.0
19,14.658002079610835,15.0,23.365384615384617,13.544886690073607,5102.84300353893,115,4.0,4,100.0,100,0,0.9120841643726423,41.25,60.00000000000001,11.0,14.000000000000002,15.25,29.5,15.75,36.5,100.0,100.0,9.843950996582862,43.678169000971444
20,17.371561956323447,20.0,20.812500000000004,12.568591901287608,3813.54491725142,119,4.0,4,100.0,100,0,0.9098062330323018,21.0,24.0,22.0,35.0,23.75,35.5,25.0,55.00000000000001,100.0,14.558093003870454,64.40072399927885,100.0
21,5.628023680995014,5.0,22.9375,3.5703170306379444,5691.233572999408,120,4.0,4,100,100,0,0.9084422059237025,11.0,11.0,22.0,35.0,41.0,59.0,25.0,55.00000000000001,100.0,100.0,17.44283100561006,100.0
