episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt,epsilon
9,46.74633644410379,100.0,23.821428571428573,9.324050856146037,6650.571051499615,12,12,81,4.0,4,0.0,31.0,21.0,1.0,20.0,79.0,69.0,1.0,62.0,19.007195995072834,19.007195995072834,19.007195995072834,19.007195995072834,0.9800397792240122
10,2.3568778413698706,100.0,18.25,10.848386976873567,8615.160568006104,1,1,84,4.0,4,66.66666666666667,31.0,25.0,4.0,20.000000000000004,79.0,68.66666666666666,7.666666666666666,62.0,11.18903099995805,11.18903099995805,11.18903099995805,11.18903099995805,0.9788055772170093
11,7.834316089887944,100.0,20.000000000000004,10.210385486036005,4901.645521330162,1,1,98,4.0,4,64.28571428571428,30.571428571428573,30.14285714285715,13.714285714285715,14.500000000000002,69.42857142857143,80.0714285714286,41.14285714285714,42.2142857142857,16.467584571988223,16.467584571988223,16.467584571988223,16.467584571988223,0.9751122890390107
12,39.462329098067634,100.0,22.232142857142854,9.897455531189713,6518.659163714411,5,5,107,4.0,4,77.77777777777777,17.0,24.444444444444446,11.555555555555557,11.666666666666666,27.444444444444443,62.33333333333333,21.11111111111111,39.33333333333333,15.354177444047915,15.354177444047915,15.354177444047915,15.354177444047915,0.9710249776053106
13,15.046891444736463,100.0,16.166666666666668,8.262842197785556,6926.759567890258,2,2,108,4.0,4,100.0,23.0,20.0,8.0,21.0,57.99999999999999,55.00000000000001,14.000000000000002,69.0,8.818563001113944,8.818563001113944,8.818563001113944,8.818563001113944,0.9702095735213624
14,2.578016098024274,100.0,18.0,5.873670062235366,3297.3199510015547,0,0,112,4.0,4,50.0,23.0,27.500000000000004,12.75,21.0,57.99999999999999,80.5,36.5,69.0,11.75669975054916,11.75669975054916,11.75669975054916,11.75669975054916,0.9685808189495932
15,13.593034561643927,100.0,21.0625,5.771312581300907,3737.89089300044,2,2,116,4.0,4,25.0,23.0,34.5,10.0,30.25,57.99999999999999,96.50000000000001,21.0,79.0,9.950089002813911,9.950089002813911,9.950089002813911,9.950089002813911,0.9645208850319757
16,11.743187482877094,100.0,24.4375,9.382507760750274,4707.199026499438,3,3,123,4.0,4,42.85714285714286,29.85714285714286,35.99999999999999,21.571428571428577,32.0,76.0,99.00000000000001,53.28571428571428,65.0,11.390169001450497,11.390169001450497,11.390169001450497,11.390169001450497,0.9612851941040438
17,27.761123270277434,100.0,29.857142857142854,5.414743720618982,3240.3387427122134,4,4,124,4.0,4,0.0,31.0,26.0,27.0,32.0,79.0,65.0,69.0,65.0,10.064002002764028,10.064002002764028,10.064002002764028,10.064002002764028,0.9590669554346118
18,4.6862000961006105,100.0,29.000000000000004,2.5495097567963922,2898.031204997096,1,1,129,4.0,4,40.0,34.599999999999994,18.2,27.0,28.400000000000002,73.2,42.2,69.0,57.00000000000001,10.93154159898404,10.93154159898404,10.93154159898404,10.93154159898404,0.955448146213595
