episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,safety_compliance_rate_after,z3_unsafe_prevented,epsilon,minikube_avg_cpu,minikube_avg_mem,minikube-m02_avg_cpu,minikube-m02_avg_mem,minikube-m03_avg_cpu,minikube-m03_avg_mem,minikube-m04_avg_cpu,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt
11,5.255144284148501,5.0,29.833333333333336,11.899163885504045,3768.255736666712,34,4.0,4,100,100,0,0.9777479366283534,40.0,48.0,32.0,69.0,23.0,59.0,26.0,69.0,100.0,13.146896000762354,100.0,100.0
12,-8.162724068680312,15.0,30.25,6.495190528383291,3284.535077000328,37,4.0,4,23.52941176470588,100.0,13,0.9718981384415531,28.789473684210527,45.36842105263158,28.315789473684205,56.368421052631575,22.57894736842106,58.42105263157894,20.473684210526315,56.315789473684205,28.060261000670533,39.044164666120196,100.0,100.0
13,5.174700119904096,5.0,25.039473684210527,4.742151812546797,1473.663579315766,38,4.0,4,100,100,0,0.9713150870293208,35.0,72.0,18.0,21.0,1.0,1.0,10.0,11.0,100.0,100.0,100.0,15.269906998582883
14,22.42472591481897,40.0,16.0,12.509996003196802,4925.7494400008,46,4.0,4,83.33333333333334,100.0,1,0.9686956811532723,35.0,72.0,7.750000000000002,22.874999999999996,7.000000000000001,16.125,21.25,56.75,100.0,35.62292462484038,27.662917999759884,37.19544774980932
15,9.177308936899259,60.0,17.75,12.982456171116228,5441.396712374626,58,4.0,4,53.84615384615385,100.0,6,0.9640563891646851,41.13333333333335,60.133333333333326,24.59999999999999,63.53333333333332,27.133333333333336,64.66666666666667,33.06666666666666,71.93333333333332,80.14352841710206,15.50665591670016,63.434315666290786,20.71847099959996
16,16.945797551733172,40.0,31.483333333333334,7.527901117448723,5111.62628873329,66,4.0,4,71.42857142857143,100.0,2,0.9611681213036641,34.88888888888889,50.88888888888889,27.333333333333332,59.33333333333333,18.22222222222222,21.000000000000004,14.555555555555555,44.22222222222222,45.382283124899914,20.987461625736614,33.633147499040206,24.16834637433567
17,1.2096871458403538,60.0,23.75,8.779998297978178,6341.421766333548,78,4.0,4,53.333333333333336,100.0,7,0.9554175190036465,40.88235294117647,66.70588235294117,30.76470588235294,72.17647058823529,33.58823529411765,71.6470588235294,27.23529411764706,62.35294117647059,34.74316441640136,22.45207258371617,14.403425417034063,28.993752499688224
18,32.61865943306511,60.0,33.11764705882353,6.593310721733007,4257.439403176678,90,4.0,4,66.66666666666666,100.0,5,0.9497013221589079,47.94117647058824,59.29411764705882,23.588235294117645,64.76470588235294,35.17647058823529,79.23529411764704,41.29411764705882,61.05882352941177,11.455073500352833,20.921469333461573,25.411449165646143,32.802568499604
19,9.190057319026991,20.0,37.0,9.566451946423825,2970.86409558816,94,4.0,4,66.66666666666666,100.0,2,0.9471402034684092,62.125,74.75,21.000000000000004,64.99999999999999,18.0,46.0,35.62500000000001,48.00000000000001,13.006368999413098,100.0,100.0,34.1988787498849
20,9.334605159096494,10.0,34.1875,17.67826082744411,6120.6863971247,96,4.0,4,100,100,0,0.9460041465776737,39.0,45.0,30.5,72.0,1.0,1.0,28.000000000000004,35.0,100.0,11.730135499419703,100.0,100.0
21,20.281249960667033,20.0,24.625000000000004,14.423247348391735,2565.1449289989614,100,4.0,4,100.0,100,0,0.944019324923992,30.5,38.49999999999999,18.0,38.0,7.999999999999999,24.5,33.5,48.5,33.816191499590786,100.0,54.87576649993571,10.351740999794856
22,9.924288321521985,10.0,22.5,11.40625032777474,4680.9455182497,102,4.0,4,100.0,100,0,0.9426041452991516,31.0,41.0,27.500000000000004,45.0,15.0,48.0,41.0,59.0,100.0,11.189685999852372,100.0,100.0
